7	0	0	0	0	0	998
14	1	1	0	0	0	1015
18	1	1	1	0	0	1028
19	1	1	0	0	0	1250
19	0	1	1	0	0	1028
19	0	0	0	0	0	1028
27	0	0	0	0	1	1018
30	0	0	0	0	0	1072
30	1	1	0	0	0	1290
30	0	1	0	0	0	1204
31	0	1	0	1	0	1352
31	0	0	1	0	0	1204
38	0	0	0	0	0	1104
41	1	1	0	0	0	1118
42	0	0	0	0	0	1127
42	1	1	1	0	0	1259
42	1	1	0	0	0	1127
42	0	0	1	0	0	1127
47	0	0	0	0	1	1095
52	0	0	0	0	1	1113
52	0	1	0	1	0	1462
54	1	1	0	0	0	1182
54	0	0	1	0	0	1404
54	0	0	0	0	0	1182
55	1	1	1	1	0	1594
66	0	0	1	0	0	1459
67	1	1	1	0	0	1237
67	0	1	1	0	0	1237
75	0	1	0	0	0	1496
78	1	1	1	0	0	1424
79	0	1	0	0	0	1424
91	1	1	1	0	0	1347
92	0	0	0	0	1	1343
94	0	0	1	0	0	1310
103	0	0	1	1	0	1814
103	0	0	0	0	0	1534
103	1	1	0	0	0	1430
111	1	1	1	0	0	1439
114	1	1	1	1	0	1946
114	1	1	1	1	0	2216
114	1	1	1	1	1	1834
117	0	0	0	0	1	1416
139	1	1	1	0	0	2052
140	0	0	1	1	1	2087
154	0	0	1	1	1	2264
158	1	1	0	1	1	2201
159	1	1	1	1	1	2992
162	0	1	0	0	0	1695
167	1	1	1	0	0	1792
173	0	0	0	0	1	1690
174	0	0	0	0	1	1827
175	1	1	1	1	0	2604
199	0	1	0	0	0	1720
209	0	0	0	0	0	1720
209	0	1	1	0	0	2159
210	0	1	0	0	0	1852
213	1	1	1	0	0	2104
220	0	0	0	0	1	1852
222	0	0	0	0	0	1852
222	1	1	0	0	0	2210
223	0	1	0	0	0	2266
223	1	1	0	0	0	2027
227	0	0	1	0	0	1852
232	0	0	0	0	1	1852
235	0	0	0	0	1	1995
245	1	1	1	1	0	2616
253	1	1	1	0	0	2324
257	0	1	0	0	1	1852
260	0	0	0	0	0	2054
284	1	1	1	1	0	2617
287	1	1	0	0	0	1948
290	0	1	0	0	1	1720
308	1	1	1	1	0	2604
309	1	1	1	0	1	1852
319	0	0	1	0	0	1942
325	1	1	0	0	0	2027
326	1	1	1	0	0	1942
329	1	1	1	0	0	1720
337	0	0	0	0	0	2048
346	1	1	1	1	1	2334
335	0	0	0	0	1	1720
357	1	1	0	0	0	1942
380	1	1	0	0	1	2117
387	1	1	1	1	1	2742
403	1	1	1	1	1	2740
406	1	1	1	0	0	1942
437	0	1	0	0	0	2266
453	0	1	0	0	0	2436
458	0	1	0	0	0	2067
464	1	1	1	1	0	2000
